Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
PBPLD ;SUB PILOES II                                      PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;14/01/2012;14/11/2012,-35.60699990399996,-6.869667105999952
PBRAL ;SUB RIO ALTO                                       PB       ;CR1;COREMAS I GERAÇÃO DE ENERGIA SPE SA                            ;31/05/2018;16/10/2018,-37.98920000299995,-6.966099999999983
PBSRD ;SUB SANTA RITA II                                  PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/06/2012;08/07/2012,-34.97983540599995,-7.099025100999995
PEADE ;SUB ALDEIA                                         PE       ;TM1;CENTRAIS ELÉTRICAS DE PERNAMBUCO S.A.                          ;30/06/2009;07/06/2009,-35.01797570299999,-7.860135302000003
PEAGD ;SUB ANGELIM II                                     PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-36.26916670099996,-8.838994003999971
PEAGL ;SUB ANGELIM                                        PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;06/02/2000,-36.26916670099996,-8.838944405999996
PEARD ;SUB ARCOVERDE II                                   PE       ;AVT;ARCOVERDE TRANSMISSAO DE ENERGIA S.A.                          ;20/04/2019;17/04/2019,-37.033784999999966,-8.487599000999978
PEBGI ;SUB BONGI                                          PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-34.92833330499997,-8.063305601999957
PEBNO ;SUB BOM NOME                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-38.62055560199997,-7.996361106999984
PECE2 ;SUB CAETES II                                      PE       ;AVT;ARCOVERDE TRANSMISSAO DE ENERGIA S.A.                          ;30/12/2015;25/12/2015,-36.76005000599997,-8.843285999999978
PECLE ;SUB SAO CLEMENTE                                   PE       ;WWW;VENTOS DE SAO CLEMENTE I ENERGIAS RENOVAVEIS S.A               ;31/07/2016;25/05/2016,-36.73615000399997,-8.759400002999996
PEFIAT;SUB MATA NORTE                                     PE       ;ITM;ITAMARACÁ TRANSMISSORA SPE S.A.                                ;31/07/2021;11/10/2022,-34.960200004,-7.627422004999971
PEFLD ;SUB FLORESTA II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/10/2014;08/10/2014,-38.342258708999964,-8.748955575999958
PEGNN ;SUB GOIANINHA                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.08833330099998,-7.587472200999969
PEGRD ;SUB GARANHUNS II                                   PE       ;IEG;INTERLIGAÇÃO ELÉTRICA GARANHUNS S.A.                           ;15/09/2015;04/09/2015,-36.40436100199997,-8.880722000999981
PEJBD ;SUB JABOATAO II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/07/2018;29/04/2018,-34.98534200299997,-8.179352000999984
PELAGC;SUB LAGOA DO CARRO                                 PE       ;FGH;BRE IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE D;09/09/2021;28/09/2020,-35.360277801999985,-7.865794405999964
PEMID ;SUB MIRUEIRA II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;10/04/2016;12/04/2016,-34.891439005999985,-7.956725001999985
PEMRR ;SUB MIRUEIRA                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-34.91138890399998,-7.956638902999998
PEPAR ;SUB PARANATAMA                                     PE       ;SV1;EOLICA SERRA DAS VACAS I S.A.                                  ;30/04/2016;18/12/2015,-36.73316699999998,-8.908411003999959
PEPFE ;SUB PAU FERRO                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;28/02/2002;31/12/1990,-35.020617001000005,-7.85929699999997
PEPRD ;SUB PIRAPAMA II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;06/02/2000,-35.023333304000005,-8.269972204999988
PERCD ;SUB RECIFE II                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.03916670399997,-8.113583303999974
PERIB ;SUB RIBEIRAO                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.38944440299997,-8.461361103000002
PESUD ;SUB SUAPE II                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;16/12/2012;08/12/2012,-35.050556003999986,-8.393611006999947
PESUT ;SUB SUAPE III                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/07/2012;03/07/2012,-35.006944000999965,-8.399167001999956
PETAC ;SUB TACAIMBO                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-36.225555606,-8.330277800999966
PETAT ;SUB TACARATU                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/12/2014;15/12/2014,-38.13164700599998,-9.059307999999987
PEVZD ;SUB JOAIRAM                                        PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/07/2006;10/07/2006,-34.98122120599999,-8.08021860599996
PIAR3 ;SUB ARARIPE III                                    PI       ;VS1;VENTOS DE SANTO AUGUSTO I ENERGIA RENOVÁVEIS S.A.              ;31/12/2016;09/12/2016,-40.67665800499998,-7.770803004999948
PIBEA ;SUB BOA  ESPERANCA                                 PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-43.58000000599998,-6.731390006999959
PICDU ;SUB CALDEIRAO I                                    PI       ;;;31/01/2016;,-40.551997005999965,-7.325342006999961
PICH1 ;SUB COLETORA CHAPADA I                             PI       ;JII;VENTOS DE SANTA JOANA II ENERGIAS RENOVAVEIS S.A.              ;31/10/2015;18/12/2015,-40.71569400299995,-7.5619029999999725
PICNP ;SUB CURRAL NOVO DO PIAUI II                        PI       ;IRC;IRACEMA TRANSMISSORA DE ENRGIA S.A                             ;30/11/2015;13/08/2015,-40.638669006999976,-8.033014006999963
PICP2 ;SUB COLETORA CHAPADA II                            PI       ;CGB;CHAPADA BRANCA HOLDING S.A                                     ;31/08/2015;16/06/2015,-40.758264005,-7.476417004999973
PICP3 ;SUB COLETORA CHAPADA III                           PI       ;CGB;CHAPADA BRANCA HOLDING S.A                                     ;30/12/2015;16/01/2016,-40.683167002999994,-7.391064002999997
PIELM ;SUB ELISEU MARTINS                                 PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;06/01/2006;08/01/2006,-43.662500000999955,-8.096667006999951
PIGBD ;SUB GILBUES II                                     PI       ;PDT;SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ;07/08/2017;21/02/2018,-45.32013600299996,-9.766569003999962
PILDB ;SUB LAGOA DO BARRO I                               PI       ;LB1;LAGOA DO BARRO I ENERGIAS RENOVÁVEIS S.A.                      ;31/08/2018;27/10/2018,-41.605746001,-8.67366500199995
PINVO ;SUB NOVA OLINDA                                    PI       ;NO8;NOVA OLINDA NORTE SOLAR S.A.                                   ;15/02/2018;09/12/2017,-42.55687799999998,-8.194181002999983
PIPIC ;SUB PICOS                                          PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-41.421111107,-7.099694400999965
PIPNB ;SUB PARNAIBA III                                   PI       ;899;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;27/06/2019;07/09/2019,-41.76610000399995,-3.1250250039999514
PIPRI ;SUB PIRIPIRI                                       PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-41.75444440499996,-4.283861100999957
PIQMN ;SUB QUEIMADA NOVA II                               PI       ;STJ;TRANSMISSORA SERTANEJA DE ELETRICIDADE S.A.                    ;30/06/2020;25/05/2021,-41.424628004,-8.598881006999989
PIRGO ;SUB RIBEIRO GONCALVES                              PI       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;10/12/2006;11/12/2006,-45.50678180199998,-8.119825102999982
PISBA ;SUB SAO BASILIO                                    PI       ;RIT;Central Eólica Brite Ltda                                      ;01/04/2016;05/07/2016,-40.57987290599999,-7.3964778039999715
PISEW ;SUB SANTA EDWIGES                                  PI       ;RIT;Central Eólica Brite Ltda                                      ;01/04/2016;05/07/2016,-40.56898100699999,-7.379317000999947
PISJA ;SUB SAO JOAO DO ARRAIAL II                         PI       ;;;09/09/9999;,-42.43610600399995,-3.818450003999999
PISJI ;SUB SAO JOAO DO PIAUI                              PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-42.229166701,-8.354138903999967
PISVR ;SUB SANTA VERONICA                                 PI       ;NTS;CENTRAL GERADORA SOLAR NOTUS S/A                               ;01/06/2016;19/07/2017,-40.56642200099998,-7.34721700099999
PITSA ;SUB TERESINA                                       PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-42.82861110599998,-5.239972203999969
PITSD ;SUB TERESINA II                                    PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-42.72666670399997,-5.264416701999949
PITST ;SUB TERESINA III                                   PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/11/2017;18/10/2017,-42.68890000099998,-5.087601006
PIVDP ;SUB CHAPADINHA I                                   PI       ;VSS;VENTOS DE SANTA ALBERTINA ENERGIAS RENOVÁVEIS S.A.             ;31/10/2017;02/08/2017,-40.63892500099996,-8.034175000999994
PRADA ;SUB ANDIRA                                         PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-50.213611007,-23.058333002999973
PRADA2;SUB ANDIRA LESTE                                   PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;04/09/2019;07/09/2019,-50.208761006999964,-23.06960000199996
PRAPA ;SUB APUCARANA                                      PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-51.45000000299996,-23.529722206999963
PRARE ;SUB AREIA                                          PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;01/08/1997,-51.602500007,-25.96861110699996
PRBER ;SUB BERNECK                                        PR       ;BNK;Berneck S. A. Painéis e Serrados                               ;01/01/2012;28/08/2011,-49.37111100599998,-25.54222200099997
PRBTA ;SUB BATEIAS                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;22/11/1999,-49.53000000099996,-25.41305560699999
PRCBA ;SUB CURITIBA                                       PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;02/06/2000,-49.316666699999985,-25.594722204999982
PRCBL ;SUB CURITIBA LESTE                                 PR       ;MRB;MARUMBI TRANSMISSORA DE ENERGIA S.A.                           ;30/06/2015;28/06/2015,-49.08253600399996,-25.570353999999952
PRCBN ;SUB CURITIBA NORTE                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;29/07/2016;22/05/2016,-49.320936001999996,-25.235598005999975
PRCBS ;SUB CURITIBA SUL                                   PR       ;;;31/12/2020;,-49.24826000599995,-25.560858005
PRCCO ;SUB CAMPO COMPRIDO                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-49.368888906999985,-25.428888902999972
PRCEL ;SUB CASCAVEL                                       PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;17/10/1986,-53.46000000099997,-24.999722206
PRCIC ;SUB C.I.CURITIBA                                   PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;31/01/2002;08/11/2003,-49.330861002000006,-25.52608300099996
PRCMO ;SUB CAMPO MOURAO                                   PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;02/06/2000,-52.36638890199998,-24.075000004000003
PRCNT ;SUB CASTRO NORTE                                   PR       ;DGS;GRALHA AZUL TRANSMISSÃO DE ENERGIA S.A.                        ;09/03/2023;15/05/2022,-50.03431419999998,-24.757496707999962
PRCPNN;SUB CURITIBA CENTRO                                PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;04/09/2019;17/09/2019,-49.252556003999985,-25.43725300699998
PRCSO ;SUB CAMPO ASSOBIO                                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/02/1998,-49.18166670199997,-25.66694440799995
PRCTE ;SUB CASCAVEL NORTE                                 PR       ;IUA;CAIUÁ TRANSMISSORA DE ENERGIA S.A.                             ;30/07/2014;15/07/2014,-53.445833005,-24.932222002000003
PRCVO ;SUB CASCAVEL OESTE                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;01/01/2001;22/04/2001,-53.530833304,-25.02777780699995
PRDJP ;SUB DISTRITO SAO JOSE DOS PINHAIS                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-49.126388899999995,-25.528888903999984
PRFLO ;SUB FLORESTOPOLIS                                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/05/1991,-51.38722200699999,-22.85888900699996
PRFOC ;SUB FOZ DO CHOPIM                                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/10/1998,-53.095000005999964,-25.522777803999986
PRFON ;SUB FOZ IGUACU NORTE                               PR       ;AT7;EVOLTZ VII - FOZ DO IGUAÇU TRANSMISSORA DE ENERGIA S.A.        ;31/08/2009;09/08/2009,-54.545833304999974,-25.48638890799998
PRFRA ;SUB FIGUEIRA                                       PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;30/06/1990,-50.38867500399999,-23.849606000999984
PRGPS ;SUB GOVERNADOR PARIGOT SOUZA                       PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;19/09/1996,-48.76083330099999,-25.253333002999966
PRGR  ;SUB PONTA GROSSA                                   PR       ;DGS;GRALHA AZUL TRANSMISSÃO DE ENERGIA S.A.                        ;09/03/2023;21/08/2021,-50.29696110599997,-25.081080600999996
PRGRL ;SUB GRALHA AZUL                                    PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-49.353536203999965,-25.585140601999967
PRGUA ;SUB GUAIRA                                         PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/11/2022,-54.22611110699995,-24.101944403000005
PRGUO ;SUB GUARAPUAVA OESTE                               PR       ;DGS;GRALHA AZUL TRANSMISSÃO DE ENERGIA S.A.                        ;09/03/2023;03/04/2022,-51.58256200699998,-25.392020204000005
PRIBP ;SUB IBIPORA                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/12/1990,-51.07638890299995,-23.291666701999986
PRIRN ;SUB IRATI NORTE                                    PR       ;DGS;GRALHA AZUL TRANSMISSÃO DE ENERGIA S.A.                        ;09/03/2023;19/02/2023,-50.65312300599999,-25.387852006000003
PRIVP ;SUB IVAIPORA ELETROSUL                             PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;02/06/2000,-51.677759304999995,-24.429173305999996
PRJGI ;SUB JAGUARIAIVA                                    PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/04/1993,-49.69333330499995,-24.232777804999955
PRKCL ;SUB KLABIN CELULOSE                                PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;28/02/2016;18/08/2015,-50.74138900599996,-24.243611000999977
PRLDA ;SUB LOANDA                                         PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-53.115556002000005,-22.93055600699995
PRLNA ;SUB LONDRINA (COPEL-T)                             PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/01/1984,-51.19777779999998,-22.988888904999953
PRLON ;SUB LONDRINA (ELETROSUL)                           PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;02/06/2000,-51.14194440099999,-23.46250000699996
PRLOS ;SUB LONDRINA SUL                                   PR       ;GAT;GUAIRA TRANSMISSORA DE ENERGIA S.A.                            ;31/12/2019;13/12/2021,-51.23173900699999,-23.365665607999972
PRMGA ;SUB MARINGA                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/01/1984,-51.985833302,-23.447500005999984
PRMNO ;SUB MEDIANEIRA NORTE                               PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;04/09/2019;02/06/2019,-54.09666700699995,-25.27122200399998
PRMUA ;SUB MAUA                                           PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;30/11/2012;23/11/2012,-50.70111100399998,-24.063333005000004
PRPFL ;SUB POSTO FISCAL                                   PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;10/12/2007;04/12/2007,-48.564722202999974,-25.55277780499995
PRPGN ;SUB PONTA GROSSA  NORTE                            PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-50.13972220599999,-25.049722202999988
PRPGS ;SUB PONTA GROSSA SUL                               PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-50.097777805999954,-25.17500000499996
PRPIL ;SUB PILARZINHO                                     PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-49.27500000599997,-25.371944405999955
PRPIN ;SUB PINHALZINHO 2                                  SC       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;30/04/2018;01/03/2018,-53.02362900199995,-26.82091100599996
PRPTO ;SUB PATO BRANCO                                    PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;01/05/1989,-52.670000001999995,-26.20972220699997
PRPVN ;SUB PARANAVAI NORTE                                PR       ;RUB;INTERLIGAÇÃO ELÉTRICA IVAÍ S.A.                                ;31/12/2022;15/01/2023,-52.47145800299995,-23.04495300399998
PRREP ;SUB REPAR                                          PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;31/01/2009;19/03/2009,-49.36245000399998,-25.579486005999968
PRRZS ;SUB REALEZA SUL                                    PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;05/03/2017;15/01/2017,-53.517806001,-25.783236004999992
PRSDI ;SUB SARANDI                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;30/06/2006;23/06/2006,-51.83166670099996,-23.444444403999967
PRSGD1;SUB SEGREDO                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;26/09/1992,-52.104167007,-25.781402103999994
PRSMC ;SUB SANTA MONICA                                   PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;31/03/2007;11/02/2007,-49.14661110199995,-25.362222202999988
PRSMS ;SUB SAO MATEUS SUL                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-50.40000000599997,-25.849722206999957
PRSOS ;SUB SALTO  OSORIO                                  PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;02/06/2000,-53.01277800599996,-25.539981001
PRSQU ;SUB SANTA QUITERIA                                 PR       ;IUA;CAIUÁ TRANSMISSORA DE ENERGIA S.A.                             ;30/07/2014;23/07/2014,-49.31166700299997,-25.460278004999964
PRSSA ;SUB SALTO SANTIAGO                                 PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;31/12/1980,-52.622777805,-25.630833306
PRSTF5;SUB FOZ DO IGUACU 50HZ                             PR       ;EBR;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;;02/06/2000,-54.54133500199998,-25.466733902999977
PRSTF6;SUB FOZ DO IGUACU 60HZ                             PR       ;EBR;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;;02/06/2000,-54.54133500199998,-25.46686600199996
PRSTIV;SUB IVAIPORA FURNAS                                PR       ;EBR;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;;02/06/2000,-51.67485000199997,-24.420571007999968
PRUBR ;SUB UBERABA                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-49.20750000299995,-25.47555560699999
PRUMB ;SUB UMBARA                                         PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;02/06/2000,-49.316388905,-25.591111101999957
PRUMU2;SUB UMUARAMA SUL                                   PR       ;COE;COSTA OESTE TRANSMISSORA DE ENERGIA S.A.                       ;30/08/2014;27/07/2014,-53.28789400299996,-23.789836004999984
PRUVN ;SUB UNIAO DA VITORIA NORTE                         PR       ;DGS;GRALHA AZUL TRANSMISSÃO DE ENERGIA S.A.                        ;09/03/2023;21/12/2021,-51.150053999999955,-26.148970000999952
PYACY ;SUB ACARAY                                         PY       ;AND;Ande                                                           ;;02/06/2000,-54.64166700099997,-25.499167002999968
PYSEMD;SUB MARGEM DIREITA                                 PY       ;ITP;ITAIPU Binacional                                              ;;02/06/2000,-54.61572050299998,-25.430899702999966
